case name,problem status,target reliability,system cost ($/kW/h),capacity nuclear (kW),capacity storage (kW),capacity solar (kW),capacity wind (kW),dispatch unmet demand (kW)
rel_0p999_wind_-1p0_solar_-1p0_v1_20191201_lead15-16_15-16,optimal,0.999,0.10958404669822179,0.7931702334936458,0.5968412256795639,0.7947470312448971,0.9643059558492995,0.001000000000000009,
rel_0p999_wind_-1p0_solar_-1p0_v1_20191201_lead15-16_16-17,optimal,0.999,0.1067522650791826,0.7931702334936458,0.5968412256795639,0.7947470312448971,0.9643059558492995,0.000722923100972971,
rel_0p999_wind_-1p0_solar_-1p0_v1_20191201_lead15-16_17-18,optimal,0.999,0.11929452415373897,0.7931702334936458,0.5968412256795639,0.7947470312448971,0.9643059558492995,0.0019466758133229694,
rel_0p999_wind_-1p0_solar_-1p0_v1_20191201_lead15-16_18-19,optimal,0.999,0.1093453895182719,0.7931702334936458,0.5968412256795639,0.7947470312448971,0.9643059558492995,0.00089121751786777,
rel_0p999_wind_-1p0_solar_-1p0_v1_20191201_lead16-17_15-16,optimal,0.999,0.11305283439831171,0.7257931669429458,0.846338891123934,0.8143347282292079,1.1264709664216195,0.001452638178642555,
rel_0p999_wind_-1p0_solar_-1p0_v1_20191201_lead16-17_16-17,optimal,0.999,0.10845532791071974,0.7257931669429458,0.846338891123934,0.8143347282292079,1.1264709664216195,0.0010000000000000137,
rel_0p999_wind_-1p0_solar_-1p0_v1_20191201_lead16-17_17-18,optimal,0.999,0.12369880203457702,0.7257931669429458,0.846338891123934,0.8143347282292079,1.1264709664216195,0.0024885421417735892,
rel_0p999_wind_-1p0_solar_-1p0_v1_20191201_lead16-17_18-19,optimal,0.999,0.11268336445917357,0.7257931669429458,0.846338891123934,0.8143347282292079,1.1264709664216195,0.00132659750061066,
rel_0p999_wind_-1p0_solar_-1p0_v1_20191201_lead17-18_15-16,optimal,0.999,0.10950060171022631,0.8752136660805551,0.7035354611011626,0.5909030286466926,0.9260589932390723,0.0007890792991352826,
rel_0p999_wind_-1p0_solar_-1p0_v1_20191201_lead17-18_16-17,optimal,0.999,0.10530159123147427,0.8752136660805551,0.7035354611011626,0.5909030286466926,0.9260589932390723,0.0003733875439581153,
rel_0p999_wind_-1p0_solar_-1p0_v1_20191201_lead17-18_17-18,optimal,0.999,0.11186095012900278,0.8752136660805551,0.7035354611011626,0.5909030286466926,0.9260589932390723,0.0009999999999999948,
rel_0p999_wind_-1p0_solar_-1p0_v1_20191201_lead17-18_18-19,optimal,0.999,0.1086646713250932,0.8752136660805551,0.7035354611011626,0.5909030286466926,0.9260589932390723,0.0006203971192826251,
rel_0p999_wind_-1p0_solar_-1p0_v1_20191201_lead18-19_15-16,optimal,0.999,0.11101667287562099,0.8157767719587282,0.649252714998747,0.7399848489442298,0.8560839860312929,0.0011879550635453104,
rel_0p999_wind_-1p0_solar_-1p0_v1_20191201_lead18-19_16-17,optimal,0.999,0.10828972448120175,0.8157767719587282,0.649252714998747,0.7399848489442298,0.8560839860312929,0.0009199375430273833,
rel_0p999_wind_-1p0_solar_-1p0_v1_20191201_lead18-19_17-18,optimal,0.999,0.12043862526210629,0.8157767719587282,0.649252714998747,0.7399848489442298,0.8560839860312929,0.0021097098633711155,
rel_0p999_wind_-1p0_solar_-1p0_v1_20191201_lead18-19_18-19,optimal,0.999,0.10993732809783961,0.8157767719587282,0.649252714998747,0.7399848489442298,0.8560839860312929,0.0010000000000000024,
