Capacity data calculated from MERRA-2 by Lei Duan,,,,
Top 25% of area used.
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,solar capacity
2018,1,1,1,0
2018,1,1,2,0
2018,1,1,3,0
2018,1,1,4,0
2018,1,1,5,0
2018,1,1,6,0
2018,1,1,7,0
2018,1,1,8,0
2018,1,1,9,0
2018,1,1,10,0
2018,1,1,11,0
2018,1,1,12,0
2018,1,1,13,0
2018,1,1,14,0
2018,1,1,15,0.215914004
2018,1,1,16,0.44556945
2018,1,1,17,0.572556296
2018,1,1,18,0.589486326
2018,1,1,19,0.587758916
2018,1,1,20,0.601488707
2018,1,1,21,0.623900165
2018,1,1,22,0.611117898
2018,1,1,23,0.485934184
2018,1,1,24,0.071612003
2018,1,2,1,0
2018,1,2,2,0
2018,1,2,3,0
2018,1,2,4,0
2018,1,2,5,0
2018,1,2,6,0
2018,1,2,7,0
2018,1,2,8,0
2018,1,2,9,0
2018,1,2,10,0
2018,1,2,11,0
2018,1,2,12,0
2018,1,2,13,0
2018,1,2,14,0
2018,1,2,15,0.288696795
2018,1,2,16,0.518508277
2018,1,2,17,0.576412445
2018,1,2,18,0.568988134
2018,1,2,19,0.563627567
2018,1,2,20,0.576561812
2018,1,2,21,0.62375901
2018,1,2,22,0.652135705
2018,1,2,23,0.53543623
2018,1,2,24,0.057212396
2018,1,3,1,0
2018,1,3,2,0
2018,1,3,3,0
2018,1,3,4,0
2018,1,3,5,0
2018,1,3,6,0
2018,1,3,7,0
2018,1,3,8,0
2018,1,3,9,0
2018,1,3,10,0
2018,1,3,11,0
2018,1,3,12,0
2018,1,3,13,0
2018,1,3,14,0
2018,1,3,15,0.285537737
2018,1,3,16,0.709114175
2018,1,3,17,0.692359519
2018,1,3,18,0.662285822
2018,1,3,19,0.636507402
2018,1,3,20,0.635606123
2018,1,3,21,0.653328682
2018,1,3,22,0.682045911
2018,1,3,23,0.556838761
2018,1,3,24,0.068998756
2018,1,4,1,0
2018,1,4,2,0
2018,1,4,3,0
2018,1,4,4,0
2018,1,4,5,0
2018,1,4,6,0
2018,1,4,7,0
2018,1,4,8,0
2018,1,4,9,0
2018,1,4,10,0
2018,1,4,11,0
2018,1,4,12,0
2018,1,4,13,0
2018,1,4,14,0
2018,1,4,15,0.132985279
2018,1,4,16,0.26190855
2018,1,4,17,0.305942172
2018,1,4,18,0.316726189
2018,1,4,19,0.316121467
2018,1,4,20,0.286662488
2018,1,4,21,0.234377864
2018,1,4,22,0.184807168
2018,1,4,23,0.110329787
2018,1,4,24,0.009972707
2018,1,5,1,0
2018,1,5,2,0
2018,1,5,3,0
2018,1,5,4,0
2018,1,5,5,0
2018,1,5,6,0
2018,1,5,7,0
2018,1,5,8,0
2018,1,5,9,0
2018,1,5,10,0
2018,1,5,11,0
2018,1,5,12,0
2018,1,5,13,0
2018,1,5,14,0
2018,1,5,15,0.417516696
2018,1,5,16,0.648773251
2018,1,5,17,0.701821474
2018,1,5,18,0.642182929
2018,1,5,19,0.614194225
2018,1,5,20,0.606167587
2018,1,5,21,0.620280704
2018,1,5,22,0.619421907
2018,1,5,23,0.446770588
2018,1,5,24,0.066810916
2018,1,6,1,0
2018,1,6,2,0
2018,1,6,3,0
2018,1,6,4,0
2018,1,6,5,0
2018,1,6,6,0
2018,1,6,7,0
2018,1,6,8,0
2018,1,6,9,0
2018,1,6,10,0
2018,1,6,11,0
2018,1,6,12,0
2018,1,6,13,0
2018,1,6,14,0
2018,1,6,15,0.183507626
2018,1,6,16,0.426401554
2018,1,6,17,0.559841413
2018,1,6,18,0.581986352
2018,1,6,19,0.547632659
2018,1,6,20,0.548974346
2018,1,6,21,0.557039661
2018,1,6,22,0.544160788
2018,1,6,23,0.467275965
2018,1,6,24,0.069699654
2018,1,7,1,0
2018,1,7,2,0
2018,1,7,3,0
2018,1,7,4,0
2018,1,7,5,0
2018,1,7,6,0
2018,1,7,7,0
2018,1,7,8,0
2018,1,7,9,0
2018,1,7,10,0
