Capacity data calculated from MERRA-2 by Lei Duan,,,,
Top 25% of area used.
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,wind capacity
2018,1,1,1,0.208291838
2018,1,1,2,0.21577195
2018,1,1,3,0.22636463
2018,1,1,4,0.21094704
2018,1,1,5,0.181304362
2018,1,1,6,0.160037387
2018,1,1,7,0.144183412
2018,1,1,8,0.128510041
2018,1,1,9,0.115261332
2018,1,1,10,0.111675999
2018,1,1,11,0.110472214
2018,1,1,12,0.108732339
2018,1,1,13,0.109676872
2018,1,1,14,0.109161951
2018,1,1,15,0.104467447
2018,1,1,16,0.085252592
2018,1,1,17,0.062734291
2018,1,1,18,0.048206154
2018,1,1,19,0.043657757
2018,1,1,20,0.040516875
2018,1,1,21,0.042471196
2018,1,1,22,0.045199881
2018,1,1,23,0.04921315
2018,1,1,24,0.060804529
2018,1,2,1,0.096648007
2018,1,2,2,0.128600976
2018,1,2,3,0.141237979
2018,1,2,4,0.138943195
2018,1,2,5,0.125239699
2018,1,2,6,0.106084733
2018,1,2,7,0.095232364
2018,1,2,8,0.087936532
2018,1,2,9,0.083868193
2018,1,2,10,0.074807868
2018,1,2,11,0.06145915
2018,1,2,12,0.047615473
2018,1,2,13,0.039195981
2018,1,2,14,0.03259524
2018,1,2,15,0.022755952
2018,1,2,16,0.006413234
2018,1,2,17,0.000766844
2018,1,2,18,0.00060889
2018,1,2,19,0.001675814
2018,1,2,20,0.012102215
2018,1,2,21,0.036584129
2018,1,2,22,0.062263429
2018,1,2,23,0.077157327
2018,1,2,24,0.086938839
2018,1,3,1,0.068751456
2018,1,3,2,0.038638806
2018,1,3,3,0.02925501
2018,1,3,4,0.05084061
2018,1,3,5,0.145266671
2018,1,3,6,0.358294981
2018,1,3,7,0.60836302
2018,1,3,8,0.743805183
2018,1,3,9,0.807336632
2018,1,3,10,0.834439367
2018,1,3,11,0.843420723
2018,1,3,12,0.834130496
2018,1,3,13,0.813335081
2018,1,3,14,0.783650488
2018,1,3,15,0.522352217
2018,1,3,16,0.167114278
2018,1,3,17,0.070822736
2018,1,3,18,0.082370483
2018,1,3,19,0.057688245
2018,1,3,20,0.036539533
2018,1,3,21,0.026664272
2018,1,3,22,0.024299559
2018,1,3,23,0.027604769
2018,1,3,24,0.03416971
2018,1,4,1,0.064854274
2018,1,4,2,0.123950626
2018,1,4,3,0.196801882
2018,1,4,4,0.287450303
2018,1,4,5,0.363371754
2018,1,4,6,0.40307104
2018,1,4,7,0.416737641
2018,1,4,8,0.409600656
2018,1,4,9,0.398570863
2018,1,4,10,0.367945329
2018,1,4,11,0.320860107
2018,1,4,12,0.292362658
2018,1,4,13,0.282040656
2018,1,4,14,0.268092301
2018,1,4,15,0.210146721
2018,1,4,16,0.063446484
2018,1,4,17,0.047624593
2018,1,4,18,0.108058378
2018,1,4,19,0.142291564
2018,1,4,20,0.157565029
2018,1,4,21,0.167786917
2018,1,4,22,0.210753893
2018,1,4,23,0.318631973
2018,1,4,24,0.428080235
2018,1,5,1,0.50299724
2018,1,5,2,0.520388899
2018,1,5,3,0.501969077
2018,1,5,4,0.46614636
2018,1,5,5,0.4180591
2018,1,5,6,0.367060133
2018,1,5,7,0.327733838
2018,1,5,8,0.312783991
2018,1,5,9,0.320678396
2018,1,5,10,0.3273034
2018,1,5,11,0.328360289
2018,1,5,12,0.3258041
2018,1,5,13,0.315047652
2018,1,5,14,0.307396812
2018,1,5,15,0.175902925
2018,1,5,16,0.057438827
2018,1,5,17,0.068797064
2018,1,5,18,0.059851683
2018,1,5,19,0.048086164
2018,1,5,20,0.043074673
2018,1,5,21,0.043855918
2018,1,5,22,0.058544252
2018,1,5,23,0.073956702
2018,1,5,24,0.097379442
2018,1,6,1,0.148363694
2018,1,6,2,0.224274787
2018,1,6,3,0.283988314
2018,1,6,4,0.33651775
2018,1,6,5,0.356164664
2018,1,6,6,0.342147087
2018,1,6,7,0.317684577
2018,1,6,8,0.301751541
2018,1,6,9,0.299726185
2018,1,6,10,0.293108055
2018,1,6,11,0.274736616
2018,1,6,12,0.225940027
2018,1,6,13,0.167937376
2018,1,6,14,0.138720355
2018,1,6,15,0.117940636
2018,1,6,16,0.049020873
2018,1,6,17,0.039381027
2018,1,6,18,0.065275584
2018,1,6,19,0.104509486
2018,1,6,20,0.174795326
2018,1,6,21,0.25359618
2018,1,6,22,0.356463951
2018,1,6,23,0.581913581
2018,1,6,24,0.860854752
2018,1,7,1,0.988977191
2018,1,7,2,0.998597923
2018,1,7,3,0.993280477
2018,1,7,4,0.97984211
2018,1,7,5,0.971351078
2018,1,7,6,0.945763156
2018,1,7,7,0.896549713
2018,1,7,8,0.85445164
2018,1,7,9,0.824499347
2018,1,7,10,0.789068422
2018,1,7,11,0.807328413
2018,1,7,12,0.855924604
2018,1,7,13,0.852742852
2018,1,7,14,0.831796989
2018,1,7,15,0.751965608
2018,1,7,16,0.623938779
2018,1,7,17,0.675405046
2018,1,7,18,0.711125603
2018,1,7,19,0.766045029
2018,1,7,20,0.835533907
2018,1,7,21,0.891187085
2018,1,7,22,0.913620312
2018,1,7,23,0.926636238
2018,1,7,24,0.967958682
2018,1,8,1,0.949015987
2018,1,8,2,0.911958726
2018,1,8,3,0.821212938
2018,1,8,4,0.726971213
2018,1,8,5,0.665237015
2018,1,8,6,0.619928685
2018,1,8,7,0.578121541
2018,1,8,8,0.531988282
2018,1,8,9,0.497321782
2018,1,8,10,0.450056485
2018,1,8,11,0.375544602
2018,1,8,12,0.293199551
2018,1,8,13,0.219125023
2018,1,8,14,0.160674238
2018,1,8,15,0.09767366
2018,1,8,16,0.027750482
2018,1,8,17,0.031513203
2018,1,8,18,0.08365996
2018,1,8,19,0.107872442
2018,1,8,20,0.111556293
2018,1,8,21,0.113430255
2018,1,8,22,0.126928708
2018,1,8,23,0.232765456
2018,1,8,24,0.412007651
2018,1,9,1,0.514877646
2018,1,9,2,0.585384605
2018,1,9,3,0.641454668
2018,1,9,4,0.68830951
2018,1,9,5,0.718708561
2018,1,9,6,0.73602886
2018,1,9,7,0.754238413
2018,1,9,8,0.779657268
2018,1,9,9,0.809464562
2018,1,9,10,0.829290307
2018,1,9,11,0.843899398
2018,1,9,12,0.856600495
2018,1,9,13,0.865768806
2018,1,9,14,0.857807052
2018,1,9,15,0.555569418
2018,1,9,16,0.220814324
2018,1,9,17,0.179348598
2018,1,9,18,0.276150037
2018,1,9,19,0.323506213
2018,1,9,20,0.325758693
2018,1,9,21,0.324776881
2018,1,9,22,0.305191161
2018,1,9,23,0.434685459
2018,1,9,24,0.673118549
2018,1,10,1,0.869851226
2018,1,10,2,0.968528177
2018,1,10,3,0.988977449
2018,1,10,4,0.996890587
2018,1,10,5,0.993230091
2018,1,10,6,0.984948212
2018,1,10,7,0.965067983
2018,1,10,8,0.951165131
2018,1,10,9,0.926534371
2018,1,10,10,0.907662319
2018,1,10,11,0.887701383
2018,1,10,12,0.861138616
2018,1,10,13,0.839842235
2018,1,10,14,0.820680508
2018,1,10,15,0.67138457
2018,1,10,16,0.562360136
2018,1,10,17,0.650078644
2018,1,10,18,0.770451722
2018,1,10,19,0.870128769
2018,1,10,20,0.928808671
2018,1,10,21,0.952855157
2018,1,10,22,0.961202742
2018,1,10,23,0.969476086
2018,1,10,24,0.995554068
2018,1,11,1,0.990852732
2018,1,11,2,0.979005679
2018,1,11,3,0.958457829
2018,1,11,4,0.948368748
2018,1,11,5,0.957685533
2018,1,11,6,0.962570351
2018,1,11,7,0.975706422
2018,1,11,8,0.985736606
2018,1,11,9,1
2018,1,11,10,1
2018,1,11,11,1
2018,1,11,12,0.997835507
2018,1,11,13,0.995309995
2018,1,11,14,0.999051334
2018,1,11,15,0.980720338
2018,1,11,16,1
2018,1,11,17,1
2018,1,11,18,1
2018,1,11,19,1
2018,1,11,20,0.997933616
2018,1,11,21,0.98541497
2018,1,11,22,0.955964766
2018,1,11,23,0.894669453
2018,1,11,24,0.849645744
2018,1,12,1,0.829572967
2018,1,12,2,0.741525455
2018,1,12,3,0.637411011
2018,1,12,4,0.543799314
2018,1,12,5,0.464351031
2018,1,12,6,0.376603022
2018,1,12,7,0.291266634
2018,1,12,8,0.22424778
2018,1,12,9,0.187791725
2018,1,12,10,0.18668421
2018,1,12,11,0.199344894
2018,1,12,12,0.192621287
2018,1,12,13,0.18225542
2018,1,12,14,0.17977332
2018,1,12,15,0.109979721
2018,1,12,16,0.127783964
2018,1,12,17,0.186632585
2018,1,12,18,0.176866101
2018,1,12,19,0.145123333
2018,1,12,20,0.112235162
2018,1,12,21,0.083729582
2018,1,12,22,0.065489114
2018,1,12,23,0.087893124
2018,1,12,24,0.272172349
2018,1,13,1,0.453715929
2018,1,13,2,0.535535766
2018,1,13,3,0.569896654
2018,1,13,4,0.52193954
2018,1,13,5,0.436219851
2018,1,13,6,0.350089275
2018,1,13,7,0.291243659
2018,1,13,8,0.250338773
2018,1,13,9,0.22061343
2018,1,13,10,0.186992588
2018,1,13,11,0.161367266
2018,1,13,12,0.14781464
2018,1,13,13,0.128795254
2018,1,13,14,0.11036073
2018,1,13,15,0.042421881
2018,1,13,16,0.032662702
2018,1,13,17,0.02988932
2018,1,13,18,0.04090154
2018,1,13,19,0.077052368
2018,1,13,20,0.126461154
2018,1,13,21,0.159081965
2018,1,13,22,0.17578097
2018,1,13,23,0.219780002
2018,1,13,24,0.457348999
2018,1,14,1,0.589667439
2018,1,14,2,0.720318432
2018,1,14,3,0.846566448
2018,1,14,4,0.883879343
2018,1,14,5,0.811232289
2018,1,14,6,0.693443547
2018,1,14,7,0.607443465
2018,1,14,8,0.555887305
2018,1,14,9,0.507092667
2018,1,14,10,0.457627661
2018,1,14,11,0.417257896
2018,1,14,12,0.399906934
2018,1,14,13,0.400784395
2018,1,14,14,0.391845992
2018,1,14,15,0.193829996
2018,1,14,16,0.086613384
2018,1,14,17,0.13297252
2018,1,14,18,0.123308676
2018,1,14,19,0.092853709
2018,1,14,20,0.061053579
2018,1,14,21,0.036645374
2018,1,14,22,0.019762202
2018,1,14,23,0.020818835
2018,1,14,24,0.071215051
2018,1,15,1,0.147752245
2018,1,15,2,0.297464958
2018,1,15,3,0.46502031
2018,1,15,4,0.591489217
2018,1,15,5,0.70994029
2018,1,15,6,0.821826931
2018,1,15,7,0.929203706
2018,1,15,8,0.98245692
2018,1,15,9,0.986274829
2018,1,15,10,0.956981607
2018,1,15,11,0.905060043
2018,1,15,12,0.830090261
2018,1,15,13,0.750170536
2018,1,15,14,0.659615089
2018,1,15,15,0.490095709
2018,1,15,16,0.475484822
2018,1,15,17,0.552777644
2018,1,15,18,0.602753993
2018,1,15,19,0.61644917
2018,1,15,20,0.635386051
2018,1,15,21,0.67507822
2018,1,15,22,0.738134105
2018,1,15,23,0.791252672
2018,1,15,24,0.803193308
2018,1,16,1,0.766191243
2018,1,16,2,0.777303309
2018,1,16,3,0.761861207
2018,1,16,4,0.729528418
2018,1,16,5,0.691143178
2018,1,16,6,0.657381235
2018,1,16,7,0.620958538
2018,1,16,8,0.577500117
2018,1,16,9,0.525911019
2018,1,16,10,0.496717497
2018,1,16,11,0.475634293
2018,1,16,12,0.449315925
2018,1,16,13,0.414611829
2018,1,16,14,0.371656543
2018,1,16,15,0.335844478
2018,1,16,16,0.297505711
2018,1,16,17,0.244224342
2018,1,16,18,0.193670276
2018,1,16,19,0.156756386
2018,1,16,20,0.132937094
2018,1,16,21,0.117448506
2018,1,16,22,0.102281184
2018,1,16,23,0.086849025
2018,1,16,24,0.102986741
2018,1,17,1,0.140960258
2018,1,17,2,0.150320449
2018,1,17,3,0.150657904
2018,1,17,4,0.14114129
2018,1,17,5,0.122644673
2018,1,17,6,0.10830118
2018,1,17,7,0.104807603
2018,1,17,8,0.10733605
2018,1,17,9,0.111139979
2018,1,17,10,0.114402007
2018,1,17,11,0.122068198
2018,1,17,12,0.130299886
2018,1,17,13,0.139764334
2018,1,17,14,0.15364418
2018,1,17,15,0.11853345
2018,1,17,16,0.135325164
2018,1,17,17,0.190606081
2018,1,17,18,0.232421088
2018,1,17,19,0.250125568
2018,1,17,20,0.233212392
2018,1,17,21,0.198599401
2018,1,17,22,0.164125971
2018,1,17,23,0.199601225
2018,1,17,24,0.418015182
2018,1,18,1,0.665695641
2018,1,18,2,0.825168099
2018,1,18,3,0.813634439
2018,1,18,4,0.708150838
2018,1,18,5,0.604625741
2018,1,18,6,0.520125404
2018,1,18,7,0.448236514
2018,1,18,8,0.396092046
2018,1,18,9,0.352859156
2018,1,18,10,0.313920055
2018,1,18,11,0.278919426
2018,1,18,12,0.254032427
2018,1,18,13,0.243248891
2018,1,18,14,0.243969129
2018,1,18,15,0.153681494
2018,1,18,16,0.12594114
2018,1,18,17,0.15128483
2018,1,18,18,0.171048183
2018,1,18,19,0.190456606
2018,1,18,20,0.197889474
2018,1,18,21,0.190691663
2018,1,18,22,0.19654143
2018,1,18,23,0.328846532
2018,1,18,24,0.598777019
2018,1,19,1,0.837905801
2018,1,19,2,0.956309439
2018,1,19,3,0.988028651
